group,Streams
russia-today,Russia Today,https://rt-news.secure.footprint.net/1103-inadv-qidx-1k_v3.m3u8
rbk,RBK,http://e3.online.video.rbc.ru/online2/rbctv_576p/index.m3u8
brodilo,Brodilo TV,http://brodilo.tv/channel.php
nexttv,壹電視,http://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv3/chunklist.m3u8
ebc,EBC News,https://manifest.googlevideo.com/api/manifest/hls_variant/requiressl/yes/source/yt_live_broadcast/id/dxpWqjvEKaM.1/itag/0/playlist_type/DVR/ei/_wz8XMCzC5fi4gKcxr-YCA/hfr/1/playlist_duration/30/manifest_duration/30/maudio/1/gcr/tw/go/1/keepalive/yes/dover/11/ip/118.161.187.177/ipbits/0/expire/1560043871/sparams/ip%2Cipbits%2Cexpire%2Crequiressl%2Csource%2Cid%2Citag%2Cplaylist_type%2Cei%2Chfr%2Cplaylist_duration%2Cmanifest_duration%2Cmaudio%2Cgcr%2Cgo/signature/A113B6CB2A7FD30575CA1BB456121E05C94DDCE5.3E35F1DEDE035A044DEC182C938702C54DF4B0FF/key/yt8/file/index.m3u8
test,Test,https://raw.githubusercontent.com/yclin0966666788/test/master/chunklist3.m3u8
ext,Zerouno TV Music,http://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv3/playlist.m3u8#http://d2e6xlgy8sg8ji.cloudfront.net/liveedge/eratv3/chunklist.m3u8
nhk,NHK World,https://nhkworld.webcdn.stream.ne.jp/www11/nhkworld-tv/global/263941/live_wa_s.m3u8
ftv,民視新聞,http://6.mms.vlog.xuite.net/hls/ftvtv/index.m3u8
tptv,公視,https://manifest.googlevideo.com/api/manifest/hls_variant/requiressl/yes/source/yt_live_broadcast/id/_isseGKrquc.233/itag/0/playlist_type/DVR/ei/Mhv8XODPAozogAOa-ofwCw/hfr/1/maudio/1/gcr/tw/go/1/keepalive/yes/dover/11/ip/114.25.141.36/ipbits/0/expire/1560047506/sparams/ip%2Cipbits%2Cexpire%2Crequiressl%2Csource%2Cid%2Citag%2Cplaylist_type%2Cei%2Chfr%2Cmaudio%2Cgcr%2Cgo/signature/E5DA9C0D84FACEF6689B2A0336E356049409680B.4A893A3D4165FA033264DF40310330A830E0DB76/key/yt8/file/index.m3u8
group,Videos
avi,Youtube1,https://www.youtube.com/watch?v=NSxxrhnhjf4
avi,Youtube,https://www.youtube.com/watch?v=LXb3EKWsInQ
avi,Youtube2,https://www.youtube.com/watch?v=-TdLTe_yckY
avi,Real 4K 60fps OLED Demo,https://www.youtube.com/watch?v=9eT9PEHayVk
avi,Transients 4K,https://www.youtube.com/watch?v=nBYZpsbu9ds
avi,Youtube4,https://www.youtube.com/watch?v=Ufg-tpGwFcM
avi,Youtube5,https://www.youtube.com/watch?v=yLKob08x2-A
avi,Youtube6,https://www.youtube.com/watch?v=1GoOEyIZbGQ
avi,Youtube7,https://www.youtube.com/watch?v=pfxQn8N3H-Q
avi,Youtube8,https://www.youtube.com/watch?v=hep0HzfrXa4
avi,Youtube9,https://www.youtube.com/watch?v=OBk21dlvpms
avi,MKV,http://jell.yfish.us/media/jellyfish-3-mbps-hd-h264.mkv
avi,MP4,http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4
